country,year,premium
HU,2019,1.8078059071729957
HU,2020,1.9482614160033516
HU,2021,1.8907514450867051
HU,2022,1.8387382597908914
HU,2023,1.7850179579271421
HU,2024,1.8854984894259819
HU,2025,2.022959929804036
IE,2003,1.6893449189622234
IE,2004,1.7215966670419998
IE,2005,1.7927421555252387
IE,2006,1.6861029154373155
IE,2007,1.766845784392981
IE,2008,1.7318146399596646
IE,2009,1.634810364250845
IE,2010,1.5957213384530993
IE,2011,1.667760459392945
IE,2012,1.648250358759245
IE,2013,1.7223878917459068
IE,2014,1.692793931731985
IE,2015,1.6215870088622508
IE,2016,1.6514032496307238
IE,2017,1.664052727797556
IE,2018,1.608574813194824
IE,2019,1.5574172273962836
IE,2020,1.5286771699127486
IE,2021,1.5695898606628356
IE,2022,1.524478121982022
IE,2023,1.5237037820309471
IE,2024,1.5276079869600652
IE,2025,1.5013936300147193
IS,2004,1.2901729228173766
IS,2005,1.2606011498244396
IS,2006,1.3115257888734
IS,2007,1.3635815973873617
IS,2008,1.3178152492668622
IS,2009,1.3483603188953728
IS,2010,1.238218172614528
IS,2011,1.233577010335266
IS,2012,1.1897785513973504
IS,2013,1.1685393258426966
IS,2014,1.1361351462711167
IS,2015,1.2054062309102016
IS,2016,1.1700185234188938
IS,2017,1.158899730820996
IS,2018,1.2054924472768844
IS,2019,1.19243995344408
IS,2020,1.2138392733131476
IT,2004,1.7918767308101966
IT,2005,1.8281763417305585
IT,2006,1.768038773977746
IT,2007,1.8062921648520474
IT,2008,1.7259346098736486
IT,2009,1.7516927083333333
IT,2010,1.729053111928001
IT,2011,1.747569013900672
IT,2012,1.7460151554742618
IT,2013,1.7246396155899626
IT,2014,1.7151859716418933
IT,2015,1.7095905544431402
IT,2016,1.7908901251738525
IT,2017,1.7599892190553197
IT,2018,1.7858930453108535
IT,2019,1.7124091314883305
IT,2020,1.7138026437134952
IT,2021,1.756242941397917
IT,2022,1.6998074566777526
IT,2023,1.6496286107290234
IT,2024,1.7069794784095766
IT,2025,1.7035790761700826
LT,2005,2.275917926565875
LT,2006,2.319319792158715
LT,2007,2.140111809923131
LT,2008,2.1311759607049985
LT,2009,2.3173150266971776
LT,2010,2.228657616892911
LT,2011,2.0880281690140845
LT,2012,2.1042078508895794
LT,2013,2.09518909184461
LT,2014,2.163355408388521
LT,2015,2.2160521582733814
LT,2016,2.19843617920541
LT,2017,2.296722939424032
LT,2018,2.073860748771811
LT,2019,1.9307031591206871
LT,2020,1.9611385495191058
LT,2021,1.8913414495391967
LT,2022,1.9778761061946903
LT,2023,2.0893278934936657
LT,2024,1.9540868277330372
LT,2025,2.0737891239727224
LU,2003,1.7602725834584025
LU,2004,1.6902720399095799
LU,2005,1.7228901822637464
LU,2006,1.7573798352237042
LU,2007,1.756211068948235
LU,2008,1.7910913296418307
LU,2009,1.8662622459296447
LU,2010,1.760024383635871
LU,2011,1.7480918655023034
LU,2012,1.7811922285395374
LU,2013,1.8180233154422072
LU,2014,1.783473265576668
LU,2015,1.737404832836809
LU,2016,1.6248670532130236
LU,2017,1.6089572821011064
LU,2018,1.6227923166172489
LU,2019,1.7298260255504911
LU,2020,1.782700688435546
LU,2021,1.649491331136266
LU,2022,1.630605273944528
LU,2023,1.8124713186664867
LU,2024,1.7330144956118727
LU,2025,1.8040517113279508
LV,2005,2.1798042246264813
LV,2006,2.441860465116279
LV,2007,1.9363177805800758
LV,2008,2.0632684998882183
LV,2009,2.142827868852459
LV,2010,2.204446716074623
LV,2011,2.134914145543745
LV,2012,2.1763185108583247
LV,2013,2.144569471624266
LV,2014,2.1903010802114458
LV,2015,2.1296032553407933
LV,2016,2.1009036144578315
LV,2017,2.032488397001071
LV,2018,2.164065094652939
LV,2019,2.0660882140274763
LV,2020,1.9546343371138053
LV,2021,2.0228079067410034
LV,2022,1.9722414190278739
LV,2023,1.8042328042328042
LV,2024,1.8119387216059166
LV,2025,1.860994170984456
ME,2013,2.5651612903225804
ME,2014,2.515124945199474
ME,2015,2.381660470879802
ME,2016,2.2991522002422284
ME,2017,2.3897592663354987
ME,2018,2.393617021276596
ME,2019,2.282828282828283
ME,2020,2.1268211920529803
ME,2021,2.131323283082077
ME,2022,1.997141223556318
ME,2023,1.946058091286307
MK,2012,2.3333333333333335
MK,2013,2.152851263962375
MK,2014,1.8549701249321022
MK,2015,1.9127025614218505
MK,2016,1.93659793814433
MK,2017,1.9370664023785926
MK,2018,1.9614643545279384
MK,2019,1.9742629854936828
MK,2020,1.9288738357324302
MK,2021,1.926601784266018
MK,2022,1.8918322295805738
MK,2023,1.9233987769552623
MK,2024,1.9621128318584071
MT,2005,1.6602014573510502
MT,2006,1.7093678280826206
MT,2007,1.6245075679037944
MT,2008,1.6344462309656673
MT,2009,1.6363064197086854
MT,2010,1.693551333576909
MT,2011,1.7107556833498068
MT,2012,1.6998361645253082
MT,2013,1.8252583432153142
MT,2014,1.7705261461606638
MT,2015,1.787175149930801
MT,2016,1.814288968187685
MT,2017,1.8075898322171815
MT,2018,1.771336327905671
MT,2019,1.729837348991024
MT,2020,1.8540192926045016
MT,2021,1.8780050676719608
MT,2022,1.8731304796286745
MT,2023,1.8343924619261531
MT,2024,1.599370188943317
MT,2025,1.5384507437552624
NL,2005,1.4216973391161645
NL,2006,1.3932552640468416
NL,2007,1.451848326193876
NL,2008,1.4622483646873892
NL,2009,1.4324590810491027
NL,2010,1.4190989372848375
NL,2011,1.4261563158422794
NL,2012,1.3987705730715845
NL,2013,1.3858205646154604
NL,2014,1.4188072259341746
NL,2015,1.4627522754254056
NL,2016,1.454512105649303
NL,2017,1.4460979714766586
NL,2018,1.4226719951871427
NL,2019,1.4082513089005235
NL,2020,1.4253888689978915
NL,2021,1.4069468432162733
NL,2022,1.3680014495379598
NL,2023,1.409511799675734
NL,2024,1.3770031015766349
NL,2025,1.3776115787561316
NO,2003,1.2850635927262535
NO,2004,1.3451220433764075
NO,2005,1.4656752349149647
NO,2006,1.4385448067963826
NO,2007,1.3166927231381467
NO,2008,1.354909858074415
NO,2009,1.3583007095669195
NO,2010,1.320401423578826
NO,2011,1.339025821596244
NO,2012,1.3291759708076902
NO,2013,1.30685181531176
NO,2014,1.3078706498901151
NO,2015,1.3300359712230216
NO,2016,1.3786136573195205
NO,2017,1.3795249025192888
NO,2018,1.3779937425589057
NO,2019,1.376722859810005
NO,2020,1.3373455728684427
NO,2021,1.2975479499253475
NO,2022,1.3415774513189702
NO,2023,1.2602605783568408
NO,2024,1.2432612483345291
NO,2025,1.2496135064170204
PL,2005,2.491359177954227
PL,2006,2.451970914657482
PL,2007,2.406664399863992
PL,2008,2.299009900990099
PL,2009,2.310401119402985
PL,2010,2.2444444444444445
PL,2011,2.145933014354067
PL,2012,2.1389742377688488
PL,2013,2.133047210300429
PL,2014,2.156501182033097
PL,2015,2.14514652014652
PL,2016,2.0568011958146486
PL,2017,1.9899918300653594
PL,2018,1.911306956684793
PL,2019,1.9176068376068376
PL,2020,1.8639062262140356
PL,2021,1.7892135484808838
PL,2022,1.7421854478592067
PL,2023,1.7711224738251765
PL,2024,1.7406224237427865
PL,2025,1.6971794871794872
PT,2004,2.484137563316449
PT,2005,2.6266411727214787
PT,2006,2.5723973376868017
PT,2007,2.483327357475798
PT,2008,2.2646959649319998
PT,2009,2.321526508226691
PT,2010,2.132067234228334
PT,2011,2.17086676460617
PT,2012,2.0256084900219173
PT,2013,2.0148425244358634
PT,2014,2.048459804658152
PT,2015,2.0301167022211066
PT,2016,1.975749611754868
PT,2017,1.9461035930937938
PT,2018,1.854461155716386
PT,2019,1.799831259228011
PT,2020,1.7896995708154506
PT,2021,1.8347453403767566
PT,2022,1.7764554200138847
PT,2023,1.8300594701748063
PT,2024,1.7193114397927634
PT,2025,1.742271880819367
RO,2007,3.2845345345345347
RO,2008,3.1508620689655173
RO,2009,2.9780979827089338
RO,2010,2.8753086419753084
RO,2011,2.7445859872611464
RO,2012,2.7262532981530345
RO,2013,2.818670248488919
RO,2014,2.814741035856574
RO,2015,2.242957746478873
RO,2016,2.3373435996150143
RO,2017,2.6215943491422804
RO,2018,3.093642611683849
RO,2019,3.1583657587548637
RO,2020,3.063165365507452
RO,2021,3.095116501755506
RO,2022,2.803717878622198
RO,2023,2.821343496903287
RO,2024,2.3842989985693848
RO,2025,2.517314864144912
RS,2013,2.4675661650233525
RS,2014,2.4365671641791047
RS,2015,2.451827242524917
RS,2016,2.149721800708144
RS,2017,2.243076923076923
RS,2018,2.319422977846471
RS,2019,2.2848788638262323
RS,2020,2.2230850688316273
RS,2021,2.3610921501706486
RS,2022,2.2426790374021457
RS,2023,2.0727132579650567
RS,2024,2.1894156560088205
RS,2025,2.2392869386355847
SE,2004,1.2664522797748938
SE,2005,1.2341500516108002
SE,2006,1.2095682989690721
SE,2007,1.2124714828897338
SE,2008,1.2928111640705617
SE,2009,1.3136770303000347
SE,2010,1.242422650627725
SE,2011,1.2679683476143653
SE,2012,1.2583047691591553
SE,2013,1.3144882149332455
SE,2014,1.3480520543460468
SE,2015,1.3633430960567088
SE,2016,1.371837564329888
SE,2017,1.3895379023883696
SE,2018,1.4217496333362092
SE,2019,1.57774573419851
SE,2020,1.4770292355184311
SE,2021,1.5462296584918633
SE,2022,1.4679503314036413
SE,2023,1.4962878112935387
SE,2024,1.4487291484670743
SE,2025,1.4595414434289316
SI,2005,1.920843989769821
SI,2006,1.8342488655361835
SI,2007,1.7455245864491276
SI,2008,1.7265851636966432
SI,2009,1.654202980039359
SI,2010,1.7312186978297162
SI,2011,1.704213241616509
SI,2012,1.690405444263395
SI,2013,1.7002859114660356
SI,2014,1.6696061140505585
SI,2015,1.622872896663181
SI,2016,1.6196564885496183
SI,2017,1.5467865168539325
SI,2018,1.5635966826713226
SI,2019,1.5734620418848169
SI,2020,1.5617458078671054
SI,2021,1.5059344951923077
SI,2022,1.4873914840843323
SI,2023,1.5201136437011686
SI,2024,1.49875224885381
SI,2025,1.5020181906248318
SK,2005,1.598699311400153
SK,2006,1.6948030453492222
SK,2007,1.7103953147877013
SK,2008,1.6567305417553821
SK,2009,1.698226031492924
SK,2010,1.717407829722539
SK,2011,1.6568968675581608
SK,2012,1.6859236537150648
SK,2013,1.608375678990713
SK,2014,1.7439884288555414
SK,2015,1.632490974729242
SK,2016,1.6951910769793381
SK,2017,1.6994304611427522
SK,2018,1.6670798654152648
SK,2019,1.7682926829268293
SK,2020,1.7456
SK,2021,1.714308759477335
SK,2022,1.7279796857641645
SK,2023,1.628246013667426
SK,2024,1.6618410270417918
SK,2025,1.7807419758232597
TR,2006,2.7538877620013524
TR,2007,2.7602697731453096
TR,2008,2.648951048951049
TR,2009,2.7424612876935615
TR,2010,2.866707058467131
TR,2011,2.6813810110974106
TR,2012,2.6707190894981894
TR,2013,2.521696733300829
TR,2014,2.603203306639111
TR,2015,2.4906848596168984
TR,2016,2.5398081534772183
TR,2017,2.4490307867730903
TR,2018,2.3568381430363865
TR,2019,2.257159904534606
TR,2020,2.3250505634209766
TR,2021,2.2726662189388853
TR,2022,2.2144420131291027
TR,2023,2.1804820693709583
TR,2024,2.2779601663383673
TR,2025,2.3041963338888047
UK,2005,1.768381708812708
UK,2006,1.8138321492007106
UK,2007,1.9210068070286528
UK,2008,1.8948178856973645
UK,2009,1.7268581851345188
UK,2010,1.7207319350220949
UK,2011,1.8047936259143156
UK,2012,1.707017644035859
UK,2013,1.7048009994645725
UK,2014,1.5567488406150842
UK,2015,1.635069241271699
UK,2016,1.500832263280544
UK,2017,1.6785150078988942
UK,2018,1.619733093417304
XK,2018,1.9714557564224549
